"qname","qtype","value"
"cdn.0000000096b40000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000082640000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000035390000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000d5040000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000b96f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008e610000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000734b0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000ad1b0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008e070000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000e86e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000080930000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000006690000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000d5a40000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000000f930000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.5e87d7d007000000050000000000.ns1.brownswer.com","1","11.8.8.8"
"cdn.000000006c3c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000060860000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000072150000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000013450000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000005a260000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000e1010000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000f57b0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000959e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000677f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000855b0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000005cb60000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000093060000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000713b0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000045b40000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000035870000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000018500000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000001f200000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000060240000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000009f3e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000a33c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000afa70000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.e5fab7720f0000000700b1030000.ns1.brownswer.com","28","279:4cd9:58ed:5bfa:7c3a:b985:8a43:9bab"
"cdn.e5fab77218000000070087000000.ns1.brownswer.com","28","441:14bc:28b4:a763:a7e5:a1ea:7f2e:e29a"
"cdn.d0a573070c00000007001c020000.ns1.brownswer.com","28","30f:114b:e50c:cdd2:35ec:5d54:5c6b:67da"
"cdn.d0a5730709000000070087000000.ns1.brownswer.com","28","87::"
"cdn.d0a5730717000000070000000000.ns1.brownswer.com","28","927:4e31:3997:b060:b15d:5b63:5f4b:8399"
"cdn.00000000431a0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000002d110000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000f5af0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008c740000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000082920000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000017170000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000069350000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000009fb20000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000005520000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000002c530000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000057350000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000009650000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000007990000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000000b9a0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000031460000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000977a0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000831e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000426a0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000a4a90000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008a460000010000000000.ns1.brownswer.com","1","8.8.8.8"
